Person ID number,Age,Gender,Education_yrs,Religion,Bats_increasing,Bats_decreasing,Bats_same,Contact,Past_eat_bat,Eat_bat,Past_catch_bats,Catch_bats,Prepare_eat,Past_mine_guano,Mine_guano,Leave_sick,Move_sick,Care_sick,Kill_sick,Give_sick,Eat_sick,Other_sick,Bat_harm_humans
107,30-39,M,13+,Christian,,b,,Yes,Yes,Will eat,Yes,No,Yes,No - seen grandfather do it - collect from around the pine trees where they would camp,No,a,,,,,,,No
108,60+,M,8,Methodist,a,,,Yes,Yes,Will eat,Yes,No - maybe,Yes,No,No,,,,,,f,,Yes
109,30-39,M,8,Methodist,a,,,Yes,Yes,Will eat,Yes,Will go,Yes,No,No,,,,,,f,,Yes
110,40-49,M,8,Methodist,a,,,No,Yes,Will eat,Yes,No,Yes,No,No,,,,,,f,,No
111,25-30,M,8,Methodist,a,,,No,Yes,Will eat,Yes,Will go,Yes,No,No,,,,,,f,,No
112,18-24,M,12,Methodist,a,,,Yes,Yes,No,Yes,Yes,Yes,No,No,,,,,,f,,Yes
113,30-39,M,10,Methodist,a,,,Yes,Yes,No,Yes,Yes,Yes,No,No,,,,,,f,,Yes
114,30-39,F,12+,Methodist,,b,,Yes,Yes,Will eat,Yes,No,Yes,No,No,,,,d,,f,,Yes
115,25-30,F,12,Methodist,,b,,Yes,Yes,Will eat,No,No,No,No,No,a,,,,,,,Yes
116,18-24,F,13+,Methodist,,b,,No,No,No,No,No,No,No,No,a,,,,,,,No
117,18-24,M,12,Methodist,a,,,No,Yes,Will eat,Yes,No,Yes,No,No,,,,d,,f,,No
118,30-39,F,13+,Methodist,a,,,Yes,No,No,No,No,No,No,No,a,,,,,,,No
119,30-39,F,12,Methodist,a,,,Yes,Yes,Will eat,No,No,Yes,No,No,a,,,,,f,,No
120,25-30,F,13+,Methodist,a,,,No,Yes,No,No,No,Yes,No,No,a,,,,,,,No
121,30-39,F,12,Pentecostal,a,,,No,Yes,No,Yes,No,Yes,No,No,a,,,,,,,Yes
122,40-49,F,10,Methodist,a,,,Yes,Yes,Will eat,No,No,Yes,No,No,a,,,,,,,No
123,60+,F,8,Pentecostal,a,,,Yes,No,No,No,No,Yes,No,No,a,,,,,,,No
124,60+,M,,Other Christian,,,c,Yes,Yes,Will eat,Yes,No,Yes,No,No,,,,d,,f,,Yes
125,30-39,F,12,Other Christian,a,,,No,No,Will eat,No,No,No,No,No,,,,d,,,,Yes
126,18-24,M,7,Other Christian,a,,,Yes,No,No,Yes,Yes,No,No,No,,,,d,,,,Yes
127,50-59,M,3,Methodist,a,,,Yes,Yes,No,Yes,No,Yes,No,No,,,,d,,f,,Yes
128,60+,M,8,Other Christian,a,,,Yes,Yes,No,Yes,No,Yes,No,No,,,,d,,f,,Yes
129,30-39,M,11,Methodist,a,,,Yes,Yes,Yes,Yes,Yes,No,No,No,a,,,,,,,Yes
130,30-39,M,13+,Methodist,a,,,No,Yes,Will eat,No,No,Yes,No,No,,,c,,,,,No
131,50-59,M,11,Methodist,a,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,d,,,,No
132,30-39,M,11,Methodist,,,c,No,Yes,Will eat,Yes,No,No,No,No,,,,d,,f,,Yes
133,18-24,M,8,Other Christian,,,c,No,Yes,Will eat,Yes,Will go - same amount,Yes,No,No,,,,d,,f,,Yes
134,60+,M,8,Methodist,a,,,Yes,Yes,Will eat,Yes,No,Yes,No,No,,,,,,f,,Yes
135,60+,F,8,Methodist,a,,,Yes,Yes,Yes,No,No,Yes,No,No,,,,,,f,,Yes
136,30-39,M,10,Methodist,a,,,No,Yes,Will eat,No,No,No,No,No,a,,,,,,,No
137,30-39,F,9,Methodist,a,,,No,No,No,No - but will join for the party,No,Yes,No,No,,,,d,e,,,No
138,30-39,F,10,Methodist,,,c,No,No,No,No,No,No,No,No,,,,d,e,,,Yes
139,25-30,F,11,Methodist,,,c,No,No,No,No,No,No,No,No,,,,d,e,,,Yes
140,60+,M,6,Methodist,,,c,Yes,Yes,No,Yes,No,Yes,No,No,,,,d,,,,Yes
141,50-59,F,10,Methodist,a,,,Yes,Yes,Yes,No - but will join for the party,No - but will join for the party,Yes,No,No,a,,,,,,,Yes
142,18-24,F,13+,Methodist,a,,,Yes,Yes,No,Yes,No - but will join for the party,Yes,No,No,a,,,,,,,Yes
143,25-29,M,13+,Methodist,a,,,Yes,Yes,Will eat,Yes,Will go,No,No,No,,,c,,,,,No
144,50-59,M,10,Methodist,a,b,,Yes,Yes,Will eat,Yes,Yes,Yes,No,No,,,,d,,f,,Yes
145,40-49,M,10,Methodist,a,b,,Yes,Yes,Will eat,Yes,Yes,Yes,No,No,,,,d,,f,,Yes
146,30-39,M,12,Methodist,a,,,Yes,Yes,Will eat,Yes,Will go - same amount,Yes,No,No,,,,d,,f,,Yes
147,40-49,M,9,Methodist,a,,,Yes,Yes,Will eat,Yes,Will go - same amount,Yes,No,No,,,,d,,f,,Yes
148,40-49,M,12,Methodist,,,c,Yes,Yes,Will eat,Yes,Will go - same amount,Yes,No,No,,,,,,,Not sure,Yes
149,40-49,M,8,Catholic,,,c,Yes,No,No,No,No,No,No,No,a,,,,,,,Yes
150,30-39,M,12,Methodist,,,c,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,d,,f,,Yes
151,18-24,M,12,Methodist,,,c,Yes,Yes,Will eat,Yes,No,Yes,No,No,,,,d,,f,,Yes
152,40-49,M,7,Methodist,,,c,Yes,Yes,Will eat,Yes,Will go - same amount,Yes,No,No,,,,d,,f,,Yes
153,18-24,M,12,Methodist,a,,,Yes,Yes,Will eat,Yes,No,Yes,No,No,,,,d,,f,,Yes
